variable	Date	layer	mean_value	data_type
NH4	2011-05-31	20 m to bottom	1.10864742533067	obs
NH4	2011-07-05	0-20 m	2.17864975885021	obs
NH4	2011-07-05	20 m to bottom	2.36110697728533	obs
NH4	2011-08-02	0-20 m	1.54413994030968	obs
NH4	2011-08-02	20 m to bottom	2.46424712967277	obs
NH4	2011-08-30	0-20 m	1.22981348844522	obs
NH4	2011-08-30	20 m to bottom	3.45029943137758	obs
NH4	2011-10-06	0-20 m	0.805729858302303	obs
NH4	2011-10-06	20 m to bottom	2.87246258606971	obs
NH4	2012-04-03	0-20 m	0.554323712665332	obs
NH4	2012-04-03	20 m to bottom	0.554323712665332	obs
NH4	2012-05-08	0-20 m	0.876266741009051	obs
NH4	2012-05-08	20 m to bottom	1.10864742533067	obs
NH4	2012-06-05	0-20 m	1.28906435606586	obs
NH4	2012-06-05	20 m to bottom	2.09348742889859	obs
NH4	2012-07-03	0-20 m	0.554323712665332	obs
NH4	2012-07-03	20 m to bottom	1.37114288481572	obs
NH4	2012-07-31	0-20 m	1.94829905643482	obs
NH4	2012-07-31	20 m to bottom	NA	obs
NH4	2012-08-28	0-20 m	3.98394894062169	obs
NH4	2012-08-28	20 m to bottom	4.60321707786524	obs
NH4	2012-10-02	0-20 m	1.44887588880025	obs
NH4	2012-10-02	20 m to bottom	2.18290943872587	obs
NH4	2013-04-23	0-20 m	0.554323712665332	obs
NH4	2013-04-23	20 m to bottom	0.676047033366694	obs
NH4	2013-05-07	0-20 m	1.32069749292691	obs
NH4	2013-05-07	20 m to bottom	1.10864742533067	obs
NH4	2013-06-04	0-20 m	0.645285792603142	obs
NH4	2013-06-04	20 m to bottom	0.726584617801367	obs
NH4	2013-06-06	0-20 m	1.41257292206931	obs
NH4	2013-06-06	20 m to bottom	1.28133473629833	obs
NH4	2013-06-11	0-20 m	1.32044710476002	obs
