Hoehe [mNN],Inhalt [Mio m³],Hoehe [mNN],Flaeche [m²],Flaeche [ha]
476.95,0.019,476.95,20228,2.02
476.96,0.019,476.96,20327,2.03
476.97,0.019,476.97,20426,2.04
476.98,0.02,476.98,20526,2.05
476.99,0.02,476.99,20625,2.06
477,0.02,477,20724,2.07
477.01,0.02,477.01,20824,2.08
477.02,0.02,477.02,20923,2.09
477.03,0.021,477.03,21022,2.1
477.04,0.021,477.04,21121,2.11
477.05,0.021,477.05,21221,2.12
477.06,0.021,477.06,21320,2.13
477.07,0.021,477.07,21419,2.14
477.08,0.021,477.08,21518,2.15
477.09,0.022,477.09,21618,2.16
477.1,0.022,477.1,21717,2.17
477.11,0.022,477.11,21816,2.18
477.12,0.022,477.12,21916,2.19
477.13,0.022,477.13,22015,2.2
477.14,0.023,477.14,22114,2.21
477.15,0.023,477.15,22213,2.22
477.16,0.023,477.16,22313,2.23
477.17,0.023,477.17,22412,2.24
477.18,0.023,477.18,22511,2.25
477.19,0.024,477.19,22610,2.26
477.2,0.024,477.2,22710,2.27
477.21,0.024,477.21,22809,2.28
477.22,0.024,477.22,22908,2.29
477.23,0.024,477.23,23008,2.3
477.24,0.025,477.24,23107,2.31
477.25,0.025,477.25,23206,2.32
477.26,0.025,477.26,23305,2.33
477.27,0.025,477.27,23405,2.34
477.28,0.025,477.28,23504,2.35
477.29,0.026,477.29,23603,2.36
477.3,0.026,477.3,23702,2.37
477.31,0.026,477.31,23802,2.38
477.32,0.026,477.32,23901,2.39
477.33,0.027,477.33,24000,2.4
477.34,0.027,477.34,24100,2.41
477.35,0.027,477.35,24199,2.42
477.36,0.027,477.36,24298,2.43
477.37,0.027,477.37,24397,2.44
477.38,0.028,477.38,24497,2.45
477.39,0.028,477.39,24596,2.46
477.4,0.028,477.4,24695,2.47
477.41,0.028,477.41,24794,2.48
477.42,0.029,477.42,24894,2.49
477.43,0.029,477.43,24993,2.5
477.44,0.029,477.44,25092,2.51
477.45,0.029,477.45,25192,2.52
477.46,0.029,477.46,25291,2.53
477.47,0.03,477.47,25390,2.54
477.48,0.03,477.48,25489,2.55
477.49,0.03,477.49,25589,2.56
477.5,0.03,477.5,25688,2.57
477.51,0.031,477.51,25787,2.58
477.52,0.031,477.52,25886,2.59
477.53,0.031,477.53,25986,2.6
477.54,0.031,477.54,26085,2.61
477.55,0.032,477.55,26184,2.62
477.56,0.032,477.56,26284,2.63
477.57,0.032,477.57,26383,2.64
477.58,0.032,477.58,26482,2.65
477.59,0.032,477.59,26581,2.66
477.6,0.033,477.6,26681,2.67
477.61,0.033,477.61,26780,2.68
477.62,0.033,477.62,26879,2.69
477.63,0.033,477.63,26978,2.7
477.64,0.034,477.64,27078,2.71
477.65,0.034,477.65,27177,2.72
477.66,0.034,477.66,27276,2.73
477.67,0.034,477.67,27376,2.74
477.68,0.035,477.68,27475,2.75
477.69,0.035,477.69,27574,2.76
477.7,0.035,477.7,27673,2.77
477.71,0.035,477.71,27773,2.78
477.72,0.036,477.72,27872,2.79
477.73,0.036,477.73,27971,2.8
477.74,0.036,477.74,28070,2.81
477.75,0.036,477.75,28170,2.82
477.76,0.037,477.76,28269,2.83
477.77,0.037,477.77,28368,2.84
477.78,0.037,477.78,28468,2.85
477.79,0.037,477.79,28567,2.86
477.8,0.038,477.8,28666,2.87
477.81,0.038,477.81,28765,2.88
